AverageFloorArea,Year/Quarter,Property Type,EnergyUseAveragePerDwelling,CarbonDioxideEmissionsAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
14.0,1,5,356.0,1.0,22.0,236.0,107.0
14.0,4,1,468.0,1.0,39.0,187.0,143.0
19.0,1,4,375.0,1.0,22.0,253.0,63.0
20.0,1,1,447.0,1.0,24.0,147.0,184.0
20.0,1,2,366.0,1.0,32.0,131.0,128.0
20.0,4,4,312.0,2.0,77.0,313.0,103.0
23.0,2,5,408.0,1.0,40.0,466.0,120.0
24.0,1,5,125.0,0.0,26.0,225.0,163.0
25.0,1,4,268.0,2.0,66.0,345.0,98.0
25.0,2,1,358.0,1.0,33.0,318.0,94.0
25.0,2,5,458.0,2.0,43.0,805.0,177.0
26.0,1,1,373.0,1.0,30.0,331.0,68.0
26.0,1,5,334.0,1.0,23.0,754.0,130.0
27.0,1,5,396.0,1.0,30.0,353.0,63.0
27.0,2,5,434.5,2.0,23.5,565.0,144.5
27.0,3,2,359.0,1.0,24.0,318.0,77.0
27.0,4,2,358.0,1.0,54.0,382.0,163.0
27.0,4,5,258.0,1.0,27.0,473.0,182.0
28.0,1,1,440.0,2.0,31.0,438.0,76.0
28.0,1,5,357.0,2.0,43.0,418.0,194.0
28.0,2,5,381.0,2.0,49.0,763.0,164.0
28.0,3,1,442.0,2.0,37.0,441.0,63.0
28.0,3,4,441.0,1.0,28.0,360.0,107.0
28.0,4,1,380.0,1.0,32.0,375.0,74.0
28.0,4,2,306.0,2.0,48.0,317.0,121.0
28.0,4,5,295.0,1.0,27.0,459.0,151.0
29.0,1,2,232.0,1.0,27.0,180.0,108.0
29.0,2,1,272.0,2.0,48.0,299.0,76.0
29.0,4,5,319.0,1.0,34.0,320.0,65.0
30.0,1,4,289.0,2.0,30.0,373.0,161.0
30.0,1,5,372.0,2.0,46.0,399.0,73.0
30.0,2,5,449.0,2.0,23.0,874.0,181.0
30.0,3,2,287.0,1.0,40.0,282.0,85.0
30.0,3,5,273.0,1.5,39.0,465.5,200.0
30.0,4,5,277.0,1.0,31.0,609.0,185.0
31.0,1,2,315.0,2.0,48.0,339.0,125.0
31.0,1,5,299.5,1.5,32.0,519.0,137.0
31.0,2,1,330.0,1.0,42.0,286.0,154.0
