AverageFloorArea,Quarter,Property Type,EnergyUseAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
0.0,1,2,113.75,59.5,204.75,118.5
0.0,1,4,154.73333333333332,70.26666666666667,292.0,115.53333333333333
0.0,2,4,71.66666666666667,54.666666666666664,229.66666666666666,57.333333333333336
0.0,3,4,191.0,56.0,200.0,140.0
0.0,4,2,174.33333333333334,55.0,226.33333333333334,76.0
0.0,4,4,154.11111111111111,63.888888888888886,242.33333333333334,93.77777777777777
1.0,1,4,213.5,53.5,350.5,87.0
1.0,2,2,124.0,45.0,215.0,49.0
1.0,3,4,168.0,52.0,228.0,76.0
1.0,4,4,114.0,46.0,178.0,74.0
2.0,1,4,153.0,49.333333333333336,257.77777777777777,83.11111111111111
2.0,2,4,151.11111111111111,51.888888888888886,288.8888888888889,83.55555555555556
2.0,3,2,250.0,65.0,475.0,100.0
2.0,3,4,170.2,46.8,249.4,103.0
2.0,4,2,156.0,70.0,274.0,89.0
2.0,4,4,163.35294117647058,47.05882352941177,243.64705882352942,87.82352941176471
3.0,1,2,111.0,9.0,39.0,37.0
3.0,1,4,149.375,54.125,258.875,102.625
3.0,2,4,171.33333333333334,46.0,226.0,94.33333333333333
3.0,3,2,171.0,53.0,295.0,83.0
3.0,3,4,165.66666666666666,50.666666666666664,311.6666666666667,91.66666666666667
3.0,4,4,144.2,59.5,253.5,93.6
4.0,1,2,156.0,55.0,244.0,81.0
4.0,1,4,153.0,53.0,254.5,90.16666666666667
4.0,2,2,186.0,48.0,286.0,83.0
4.0,2,4,149.07142857142858,58.42857142857143,269.35714285714283,85.5
4.0,3,2,146.0,45.0,200.0,78.0
4.0,3,4,157.4,55.8,259.1,89.6
4.0,4,2,142.5,61.5,262.5,84.5
4.0,4,4,153.33333333333334,57.05555555555556,246.05555555555554,78.88888888888889
5.0,1,2,195.0,38.75,185.75,91.75
5.0,1,4,164.42857142857142,52.0,258.6666666666667,86.85714285714286
5.0,2,2,172.0,53.0,272.0,77.0
5.0,2,4,158.71428571428572,53.0,253.85714285714286,87.57142857142857
5.0,3,2,160.5,71.0,295.5,90.0
5.0,3,4,169.07692307692307,50.92307692307692,261.38461538461536,84.61538461538461
5.0,4,2,111.0,49.0,250.0,94.0
5.0,4,4,150.88888888888889,59.888888888888886,272.0,86.38888888888889
6.0,1,2,185.0,37.0,225.0,65.0
6.0,1,4,152.6,56.1,277.3,89.9
6.0,2,2,162.0,62.0,267.0,124.0
6.0,2,4,162.0,47.0,256.8333333333333,78.33333333333333
6.0,3,2,159.0,65.0,250.0,91.0
6.0,3,4,168.7,56.7,291.8,86.6
6.0,4,4,163.25,56.0,252.5,81.91666666666667
7.0,1,2,146.5,35.0,171.0,57.5
